GOLD Analysis Project ID	Analysis Project Name	Analysis Project Type	Add Date
Ga0359900	Microbial communities from the Atlantic Highlands Ecozone, Canada. Combined Assembly of Gp0356617, Gp0356616, Gp0356587	Combined Assembly	2019-01-13
Ga0346718	Microbial communities from the Atlantic Highlands Ecozone, Canada. Combined Assembly of Gp0356615, Gp0356614, Gp0356580	Combined Assembly	2019-01-04
Ga0346702	Microbial communities from the Boreal Shield Ecozone, Canada. Combined Assembly of Gp0356613, Gp0356612, Gp0356506	Combined Assembly	2019-01-04
Ga0346524	Sediment microbial communities from the Mixedwood Plains Ecozone, Canada - bottom sediment 08-148	Metagenome Analysis	2019-01-04
Ga0346514	Sediment microbial communities from the Mixedwood Plains Ecozone, Canada - top sediment 08-148	Metagenome Analysis	2019-01-04
Ga0346509	Sediment microbial communities from the Atlantic Highlands Ecozone, Canada - bottom sediment 17-067	Metagenome Analysis	2019-01-04
Ga0346508	Sediment microbial communities from the Atlantic Highlands Ecozone, Canada - top sediment 17-067	Metagenome Analysis	2019-01-04
Ga0346507	Sediment microbial communities from the Atlantic Highlands Ecozone, Canada - bottom sediment 17-054	Metagenome Analysis	2019-01-04
Ga0346506	Sediment microbial communities from the Atlantic Highlands, Canada - top sediment 17-054	Metagenome Analysis	2019-01-04
Ga0346505	Sediment microbial communities from the Boreal Shield Ecozone, Canada - bottom sediment 06-126	Metagenome Analysis	2019-01-04
Ga0346504	Sediment microbial communities from the Boreal Shield Ecozone, Canada - top sediment 06-126	Metagenome Analysis	2019-01-04
Ga0336681	Sediment microbial communities from the Atlantic Maritime Ecozone, Canada - bottom sediment 07-025	Metagenome Analysis	2018-12-23
Ga0336680	Sediment microbial communities from the Atlantic Maritime Ecozone, Canada - top sediment 07-025	Metagenome Analysis	2018-12-22
Ga0335337	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-116	Metagenome Analysis	2018-12-17
Ga0335336	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-113	Metagenome Analysis	2018-12-17
Ga0335335	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-112	Metagenome Analysis	2018-12-17
Ga0335334	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-107	Metagenome Analysis	2018-12-17
Ga0335333	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-098	Metagenome Analysis	2018-12-17
Ga0335332	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-093	Metagenome Analysis	2018-12-17
Ga0335331	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-091	Metagenome Analysis	2018-12-17
Ga0335330	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-090	Metagenome Analysis	2018-12-17
Ga0335329	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-086	Metagenome Analysis	2018-12-17
Ga0335328	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-077	Metagenome Analysis	2018-12-17
Ga0335327	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-074	Metagenome Analysis	2018-12-17
Ga0335326	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-073	Metagenome Analysis	2018-12-17
Ga0335325	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-072	Metagenome Analysis	2018-12-17
Ga0335324	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-067	Metagenome Analysis	2018-12-17
Ga0335323	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-065	Metagenome Analysis	2018-12-17
Ga0335322	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-063	Metagenome Analysis	2018-12-17
Ga0335321	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-061	Metagenome Analysis	2018-12-17
Ga0335320	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-060	Metagenome Analysis	2018-12-17
Ga0335319	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-058	Metagenome Analysis	2018-12-17
Ga0335318	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-056	Metagenome Analysis	2018-12-17
Ga0335317	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-054	Metagenome Analysis	2018-12-17
Ga0335316	Freshwater microbial communities from the Boreal Shield Ecozone, Canada - Lake 17-050	Metagenome Analysis	2018-12-17
Ga0335315	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-043	Metagenome Analysis	2018-12-17
Ga0335314	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-027	Metagenome Analysis	2018-12-17
Ga0335313	Freshwater microbial communities from the Atlantic Highlands Ecozone, Canada - Lake 17-018	Metagenome Analysis	2018-12-17
Ga0335312	Freshwater microbial communities from the Mixedwood Plains Ecozone, Canada - Lake 08-219	Metagenome Analysis	2018-12-17
Ga0335311	Freshwater microbial communities from the Mixedwood Plains Ecozone, Canada - Lake 08-216	Metagenome Analysis	2018-12-17
Ga0335310	Freshwater microbial communities from the Mixedwood Plains Ecozone, Canada - Lake 08-212	Metagenome Analysis	2018-12-17
Ga0335309	Freshwater microbial communities from the Mixedwood Plains Ecozone, Canada - Lake 08-210	Metagenome Analysis	2018-12-17
Ga0335308	Freshwater microbial communities from the Mixedwood Plains Ecozone, Canada - Lake 08-197	Metagenome Analysis	2018-12-17
Ga0335307	Freshwater microbial communities from the Mixedwood Plains Ecozone, Canada - Lake 08-194	Metagenome Analysis	2018-12-17
Ga0335306	Freshwater microbial communities from the Mixedwood Plains Ecozone, Canada - Lake 08-193	Metagenome Analysis	2018-12-17
